CDR,Exudate_Pixel,Label
0.2865,17280,0
0.6202,17018,0
0.4632,32191,0
0.5125,20247,0
0.4632,19382,0
0.4994,20955,0
0.6944,20004,0
0.2879,16707,0
0.5308,19820,0
0.5749,22900,0
0.8346,20013,0
0.5453,18468,0
0.4881,19424,0
0.3483,20892,0
0.8424,20767,0
0.2612,20843,0
0.4078,17326,0
0.5289,17049,0
0.3943,18562,0
0.338,19194,0
0.7347,20283,0
1,22714,0
0.4521,20054,0
0.3436,22097,0
0.3265,17512,0
0.4178,19565,0
0.4017,20056,0
0.9652,19156,0
0.4847,20088,0
0.5071,19205,0
0.2964,20440,0
0.8313,20292,0
1.0272,18836,0
0.4881,19755,0
0.4328,17669,0
0.7825,17999,0
0.5755,17297,0
0.7199,19535,0
0.3051,15969,0
0.4313,20447,0
0.4763,20392,0
0.5364,20721,0
0.8264,11895,0
0.9708,15969,0
0.3499,20447,0
1.0615,10897,0
0.4508,20547,0
0.4497,17691,0
1,20094,0
0.3574,20800,0
0.407,20184,0
0.7213,21841,0
0.2637,15330,0
0.676,11340,0
0.5364,17225,0
0.5442,10847,0
0.6715,11579,0
1.0221,13653,0
0.9708,21886,0
0.8975,19497,0
0.8743,25742,0
0.9728,25357,0
0.7307,18323,0
0.7056,31017,0
0.7723,23050,0
0.5687,16855,0
0.9699,20638,0
0.4017,19130,0
0.6125,27400,0
0.5625,24418,0
0.5885,23399,0
0.277,26352,0
0.6267,25840,0
0.9173,22705,0
0.5524,23308,0
0.8428,22403,0
1.0839,17546,0
0.6125,24559,0
0.3478,20930,0
0.7091,17780,0
1.0261,10411,0
0.5534,12950,0
0.8323,21232,0
0.5962,20085,0
0.4121,19416,0
0.5407,19415,0
0.8934,24752,0
0.8573,25031,0
0.2875,22079,0
0.5251,20302,0
0.4313,19656,0
0.3352,21398,0
0.3881,20845,0
0.3762,23749,0
0.8047,20052,0
0.9365,24284,0
0.8077,23863,0
0.5917,24799,0
0.3841,20401,0
0.5487,8721,0
0.6306,20706,0
0.7991,23423,0
0.9716,19060,0
0.3403,22937,0
0.3748,18919,0
0.9535,23072,0
0.7311,22738,0
0.8774,24874,0
0.9334,12338,0
0.6715,22265,0
0.7347,20580,0
0.7683,20473,0
0.9206,19350,0
0.6445,22065,0
0.4526,22770,0
0.7785,18724,0
0.64,27138,0
0.7686,22164,0
0.8521,20469,0
0.8934,23159,0
0.5216,19928,0
0.8825,22042,0
0.6323,16501,0
0.5625,23044,0
0.6986,22002,0
0.4444,21016,0
0.3516,32836,0
0.8444,25826,0
0.8428,21701,0
0.4994,23507,0
0.6357,19909,0
0.6834,22390,0
0.4655,18604,0
0.3824,18347,0
0.8479,19927,0
0.3971,19835,0
0.4318,17073,0
0.8306,21531,0
0.4066,20250,0
0.5917,18485,0
0.6156,20654,0
0.4839,17331,0
0.4853,21953,0
0.7264,9533,0
0.4983,19737,0
0.7715,20636,0
0.7625,19389,0
0.6173,26657,0
0.5325,20020,0
0.7315,19790,0
0.7489,10937,0
0.5155,17642,0
1,24878,0
0.9664,21533,0
0.2963,17311,0
0.5572,19274,0
0.9745,23280,0
0.5625,20730,0
0.3787,19509,0
0.8336,21685,0
0.346,22509,0
0.4916,21768,0
0.8444,11025,0
0.3805,20647,0
0.393,21890,0
0.6824,24305,0
0.4545,16618,0
0.5575,20687,0
0.7205,16085,0
0.405,21166,0
0.49,25399,0
0.3824,21203,0
0.4539,21530,0
0.3853,20723,0
0.7856,20554,0
0.9403,18124,0
0.59,19338,0
0.33,20241,0
0.3333,15191,0
0.8539,19108,0
1,19690,0
0.7443,24860,0
0.5727,23224,0
0.5289,16751,0
0.64,22007,0
1,21929,0
0.3245,21979,0
0.5625,19052,0
0.2565,21374,0
0.5524,21156,0
0.3735,20231,0
0.8551,19774,0
0.8289,22457,0
0.4497,20165,0
0.3255,21298,0
0.5971,22437,0
0.8289,19696,0
0.3951,15066,0
0.338,17913,0
0.36,19948,0
0.9809,14889,0
0.3884,16969,0
0.5814,25384,0
0.5951,401,1
0.1555,9060,1
0.2744,1119,1
0.3745,3934,1
0.64,1723,1
0.8125,2515,1
